"Date","Sales USD"
"2017-06-22",0
"2017-06-23",1020.3
"2017-06-24",1240.84
"2017-06-25",517.55
"2017-06-26",424.63
"2017-06-27",2092.91
"2017-06-28",1247.26
"2017-06-29",2185.72
"2017-06-30",1708.15
"2017-07-01",3140.8
"2017-07-02",2924.61
"2017-07-03",7249.8
"2017-07-04",13505.93
"2017-07-05",1840.28
"2017-07-06",7022.18
"2017-07-07",7082.51
"2017-07-08",3227.88
"2017-07-09",969.1
"2017-07-10",4910.06
"2017-07-11",5709.37
"2017-07-12",1778.73
"2017-07-13",5300.97
"2017-07-14",448.4
"2017-07-15",549.69
"2017-07-16",319.2
"2017-07-17",1452.2
"2017-07-18",2921.67
"2017-07-19",3436.75
"2017-07-20",2352.71
"2017-07-21",2135
"2017-07-22",1044.77
"2017-07-23",421.7
"2017-07-24",1126.82
"2017-07-25",1769.47
"2017-07-26",314.52
"2017-07-27",111.75
"2017-07-28",374
"2017-07-29",1006.8
"2017-07-30",1478.99
"2017-07-31",213.45
"2017-08-01",109
"2017-08-02",525.74
"2017-08-03",4599.9
"2017-08-04",0
"2017-08-05",1518.93
"2017-08-06",0
"2017-08-07",76.52
"2017-08-08",997.6
"2017-08-09",267.36
"2017-08-10",181.03
"2017-08-11",659.37
"2017-08-12",1038.52
"2017-08-13",805.29
"2017-08-14",503.88
"2017-08-15",260.89
"2017-08-16",210.03
"2017-08-17",150.29
"2017-08-18",88.83
"2017-08-19",118.65
"2017-08-20",162.34
"2017-08-21",792.62
"2017-08-22",87.41
"2017-08-23",155.23
"2017-08-24",0
"2017-08-25",256.64
"2017-08-26",98.96
"2017-08-27",0
"2017-08-28",1145.85
"2017-08-29",91.7
"2017-08-30",174.3
"2017-08-31",103.39
"2017-09-01",506.11
"2017-09-02",69.28
"2017-09-03",0
"2017-09-04",314.7
"2017-09-05",0
"2017-09-06",0
"2017-09-07",0
"2017-09-08",76.12
"2017-09-09",0
"2017-09-10",202.02
"2017-09-11",139.34
"2017-09-12",81.36
"2017-09-13",0
"2017-09-14",0
"2017-09-15",0
"2017-09-16",70.99
"2017-09-17",133.72
"2017-09-18",63.35
"2017-09-19",378.6
"2017-09-20",372.74
"2017-09-21",208.55
"2017-09-22",71.14
"2017-09-23",243.57
"2017-09-24",56.14
"2017-09-25",0
"2017-09-26",0
"2017-09-27",423.01
"2017-09-28",36.2
"2017-09-29",314.35
"2017-09-30",160.53
"2017-10-01",449.51
"2017-10-02",0
"2017-10-03",0
"2017-10-04",58.61
"2017-10-05",0
"2017-10-06",0
"2017-10-07",0
"2017-10-08",93.04
"2017-10-09",26.63
"2017-10-10",0
