"Date","Average USD (7-day)"
"2017-06-22",NaN
"2017-06-23",53.7
"2017-06-24",56.53
"2017-06-25",52.43
"2017-06-26",47.81
"2017-06-27",52.96
"2017-06-28",56.9
"2017-06-29",57.05
"2017-06-30",60.76
"2017-07-01",78.59
"2017-07-02",84.72
"2017-07-03",103.26
"2017-07-04",142.69
"2017-07-05",143.42
"2017-07-06",176.38
"2017-07-07",187.57
"2017-07-08",172.8
"2017-07-09",178.59
"2017-07-10",197.73
"2017-07-11",170.9
"2017-07-12",171.51
"2017-07-13",154.97
"2017-07-14",142.32
"2017-07-15",148.99
"2017-07-16",154.6
"2017-07-17",140.17
"2017-07-18",130.31
"2017-07-19",128.83
"2017-07-20",112.56
"2017-07-21",113.51
"2017-07-22",110.18
"2017-07-23",108.38
"2017-07-24",98.1
"2017-07-25",106.85
"2017-07-26",102.98
"2017-07-27",98.91
"2017-07-28",95.61
"2017-07-29",104.59
"2017-07-30",104.79
"2017-07-31",114.54
"2017-08-01",90.21
"2017-08-02",106.1
"2017-08-03",151.05
"2017-08-04",158.68
"2017-08-05",191.95
"2017-08-06",248.82
"2017-08-07",252.97
"2017-08-08",257.29
"2017-08-09",233.13
"2017-08-10",233.96
"2017-08-11",176.23
"2017-08-12",89.46
"2017-08-13",93.62
"2017-08-14",98.96
"2017-08-15",84.46
"2017-08-16",85.09
"2017-08-17",84.38
"2017-08-18",84.94
"2017-08-19",106.89
"2017-08-20",106.78
"2017-08-21",93.88
"2017-08-22",100.64
"2017-08-23",97.21
"2017-08-24",100.36
"2017-08-25",98.31
"2017-08-26",97.07
"2017-08-27",92.72
"2017-08-28",109.01
"2017-08-29",109.27
"2017-08-30",110.47
"2017-08-31",110.05
"2017-09-01",111.6
"2017-09-02",99.55
"2017-09-03",99.55
"2017-09-04",83.97
"2017-09-05",83.41
"2017-09-06",82.79
"2017-09-07",80.92
"2017-09-08",65.73
"2017-09-09",97.71
"2017-09-10",84.69
"2017-09-11",69.58
"2017-09-12",62.36
"2017-09-13",62.36
"2017-09-14",62.36
"2017-09-15",60.39
"2017-09-16",61.71
"2017-09-17",60.77
"2017-09-18",58.24
"2017-09-19",80.83
"2017-09-20",92.67
"2017-09-21",81.86
"2017-09-22",81.19
"2017-09-23",77.46
"2017-09-24",77.45
"2017-09-25",78.28
"2017-09-26",73.24
"2017-09-27",71.6
"2017-09-28",75.46
"2017-09-29",63.13
"2017-09-30",43.05
"2017-10-01",60.16
"2017-10-02",60.16
"2017-10-03",60.16
"2017-10-04",50.96
"2017-10-05",51.74
"2017-10-06",55.72
"2017-10-07",254.06
"2017-10-08",75.82
"2017-10-09",59.43
"2017-10-10",59.43
"2017-10-11",62.13
"2017-10-12",56.41
"2017-10-13",72.56
"2017-10-14",69.61
"2017-10-15",65.72
"2017-10-16",71.51
"2017-10-17",71.51
"2017-10-18",71.86
"2017-10-19",71.03
"2017-10-20",66.94
"2017-10-21",69.96
"2017-10-22",76.39
"2017-10-23",67.57
"2017-10-24",67.57
"2017-10-25",61.87
"2017-10-26",48.86
"2017-10-27",38.04
"2017-10-28",33.52
"2017-10-29",32.93
"2017-10-30",37.88
"2017-10-31",37.69
"2017-11-01",36.27
"2017-11-02",35.86
"2017-11-03",37.44
"2017-11-04",38.52
"2017-11-05",39.42
"2017-11-06",33.23
"2017-11-07",52.34
"2017-11-08",66.38
"2017-11-09",83.5
"2017-11-10",83.5
"2017-11-11",137.99
"2017-11-12",126.27
"2017-11-13",94.69
"2017-11-14",61.71
"2017-11-15",63.41
"2017-11-16",59.84
"2017-11-17",59.84
"2017-11-18",59.84
"2017-11-19",50.54
"2017-11-20",48.31
"2017-11-21",5.89
"2017-11-22",7.31
"2017-11-23",3.96
"2017-11-24",2.81
"2017-11-25",2.27
"2017-11-26",2.2
"2017-11-27",2.17
"2017-11-28",2.29
"2017-11-29",3.39
"2017-11-30",3.22
"2017-12-01",3.71
"2017-12-02",9.46
"2017-12-03",21.3
"2017-12-04",37
"2017-12-05",42.77
"2017-12-06",46.99
"2017-12-07",48.79
"2017-12-08",49.97
"2017-12-09",48.92
"2017-12-10",46.27
"2017-12-11",40.83
"2017-12-12",36.46
"2017-12-13",32.54
"2017-12-14",29.3
"2017-12-15",25.49
"2017-12-16",22.88
"2017-12-17",21.81
"2017-12-18",20.8
"2017-12-19",20.33
"2017-12-20",19.69
"2017-12-21",19.67
"2017-12-22",19.37
"2017-12-23",18.08
"2017-12-24",16.59
"2017-12-25",16.03
"2017-12-26",15.61
"2017-12-27",15.05
"2017-12-28",13.95
"2017-12-29",13.46
"2017-12-30",13.34
"2017-12-31",13.71
"2018-01-01",13.83
"2018-01-02",13.72
"2018-01-03",13.99
"2018-01-04",14.93
"2018-01-05",15.83
"2018-01-06",17.71
"2018-01-07",18.66
"2018-01-08",20.17
"2018-01-09",22.71
"2018-01-10",25.68
"2018-01-11",26.06
"2018-01-12",26.61
"2018-01-13",25.85
"2018-01-14",27.61
"2018-01-15",28.31
"2018-01-16",27.77
"2018-01-17",25.69
"2018-01-18",24.69
"2018-01-19",24.51
"2018-01-20",28.48
"2018-01-21",27.03
"2018-01-22",25.1
"2018-01-23",23.47
"2018-01-24",22.74
"2018-01-25",22.5
"2018-01-26",21.41
"2018-01-27",16.3
"2018-01-28",16.93
"2018-01-29",17.44
"2018-01-30",18.04
"2018-01-31",20.81
"2018-02-01",20.83
"2018-02-02",20.96
"2018-02-03",21.04
"2018-02-04",19.56
"2018-02-05",18.88
"2018-02-06",17.34
"2018-02-07",13.95
